agent,env,env_step,episode_reward,seed
DCWM,acrobot-swingup,1750000.0,320.1094665527344,1
DCWM,acrobot-swingup,1775000.0,295.5512390136719,1
DCWM,acrobot-swingup,1800000.0,471.1296997070313,1
DCWM,acrobot-swingup,1825000.0,415.1155395507813,1
DCWM,acrobot-swingup,1850000.0,329.2455139160156,1
DCWM,acrobot-swingup,1875000.0,329.5377502441406,1
DCWM,acrobot-swingup,1900000.0,397.9849548339844,1
DCWM,acrobot-swingup,1925000.0,356.82220458984375,1
DCWM,acrobot-swingup,1950000.0,476.3939514160156,1
DCWM,acrobot-swingup,1975000.0,299.46435546875,1
DCWM,acrobot-swingup,2000000.0,440.6050720214844,1
DCWM,acrobot-swingup,2025000.0,379.8676452636719,1
DCWM,acrobot-swingup,2050000.0,362.4100036621094,1
DCWM,acrobot-swingup,2075000.0,357.6674499511719,1
DCWM,acrobot-swingup,2100000.0,455.65234375,1
DCWM,acrobot-swingup,2125000.0,353.5082702636719,1
DCWM,acrobot-swingup,2150000.0,485.1310729980469,1
DCWM,acrobot-swingup,2175000.0,438.1130981445313,1
DCWM,acrobot-swingup,2200000.0,354.6162109375,1
DCWM,acrobot-swingup,2225000.0,454.517578125,1
DCWM,acrobot-swingup,2250000.0,420.4244079589844,1
DCWM,acrobot-swingup,2275000.0,532.6183471679688,1
DCWM,acrobot-swingup,2300000.0,445.57470703125,1
DCWM,acrobot-swingup,2325000.0,431.4181823730469,1
DCWM,acrobot-swingup,2350000.0,427.1834106445313,1
DCWM,acrobot-swingup,2375000.0,428.556640625,1
DCWM,acrobot-swingup,2400000.0,378.9566955566406,1
DCWM,acrobot-swingup,2425000.0,370.55279541015625,1
DCWM,acrobot-swingup,2450000.0,472.6784362792969,1
DCWM,acrobot-swingup,2475000.0,271.52996826171875,1
DCWM,acrobot-swingup,2500000.0,230.0457763671875,1
DCWM,acrobot-swingup,2525000.0,451.3438415527344,1
DCWM,acrobot-swingup,2550000.0,430.7447814941406,1
DCWM,acrobot-swingup,2575000.0,444.3959655761719,1
DCWM,acrobot-swingup,2600000.0,495.83544921875,1
DCWM,acrobot-swingup,2625000.0,411.3296813964844,1
DCWM,acrobot-swingup,2650000.0,425.8311462402344,1
DCWM,acrobot-swingup,2675000.0,509.2829284667969,1
