agent,env,env_step,episode_reward,seed
DCWM (ours),walker-walk,76000.0,964.9410400390624,3
DCWM (ours),walker-walk,101000.0,967.0859375,3
DCWM (ours),walker-walk,126000.0,970.5441284179688,3
DCWM (ours),walker-walk,151000.0,974.6533203125,3
DCWM (ours),walker-walk,176000.0,972.1754150390624,3
DCWM (ours),walker-walk,201000.0,971.94384765625,3
DCWM (ours),walker-walk,226000.0,979.4113159179688,3
DCWM (ours),walker-walk,251000.0,975.9789428710938,3
DCWM (ours),walker-walk,276000.0,978.8804931640624,3
DCWM (ours),walker-walk,301000.0,973.7659301757812,3
DCWM (ours),walker-walk,326000.0,977.4539184570312,3
DCWM (ours),walker-walk,351000.0,977.2897338867188,3
DCWM (ours),walker-walk,376000.0,978.2921752929688,3
DCWM (ours),walker-walk,401000.0,976.0245971679688,3
DCWM (ours),walker-walk,426000.0,970.7171020507812,3
DCWM (ours),walker-walk,451000.0,976.2366333007812,3
DCWM (ours),walker-walk,476000.0,976.755859375,3
DCWM (ours),walker-walk,501000.0,973.6591796875,3
DCWM (ours),walker-walk,526000.0,978.10595703125,3
DCWM (ours),walker-walk,551000.0,972.955078125,3
DCWM (ours),walker-walk,576000.0,975.98974609375,3
DCWM (ours),walker-walk,601000.0,973.2847900390624,3
DCWM (ours),walker-walk,626000.0,984.1517944335938,3
DCWM (ours),walker-walk,651000.0,980.1622924804688,3
DCWM (ours),walker-walk,676000.0,982.6858520507812,3
DCWM (ours),walker-walk,701000.0,982.0888061523438,3
DCWM (ours),walker-walk,726000.0,979.18505859375,3
DCWM (ours),walker-walk,751000.0,977.0142822265624,3
DCWM (ours),walker-walk,776000.0,984.4908447265624,3
DCWM (ours),walker-walk,801000.0,969.2607421875,3
DCWM (ours),walker-walk,826000.0,974.6477661132812,3
DCWM (ours),walker-walk,851000.0,981.5741577148438,3
DCWM (ours),walker-walk,876000.0,985.3115234375,3
DCWM (ours),walker-walk,901000.0,977.8259887695312,3
DCWM (ours),walker-walk,926000.0,978.6544189453124,3
DCWM (ours),walker-walk,951000.0,975.7860717773438,3
DCWM (ours),walker-walk,976000.0,979.2077026367188,3
DCWM (ours),walker-walk,1001000.0,977.0427856445312,3
DCWM (ours),walker-walk,1026000.0,979.3023681640624,3
DCWM (ours),walker-walk,1051000.0,973.9232788085938,3
DCWM (ours),walker-walk,1076000.0,977.4539184570312,3
DCWM (ours),walker-walk,1101000.0,973.1734619140624,3
DCWM (ours),walker-walk,1126000.0,973.3185424804688,3
DCWM (ours),walker-walk,1151000.0,981.8178100585938,3
DCWM (ours),walker-walk,1176000.0,973.7809448242188,3
DCWM (ours),walker-walk,1201000.0,983.8189697265624,3
DCWM (ours),walker-walk,1226000.0,982.3717651367188,3
DCWM (ours),walker-walk,1251000.0,980.2325439453124,3
DCWM (ours),walker-walk,1276000.0,981.9169921875,3
DCWM (ours),walker-walk,1301000.0,973.34765625,3
DCWM (ours),walker-walk,1326000.0,976.5413208007812,3
DCWM (ours),walker-walk,1351000.0,986.6549072265624,3
DCWM (ours),walker-walk,1376000.0,983.1868286132812,3
DCWM (ours),walker-walk,1401000.0,975.2455444335938,3
DCWM (ours),walker-walk,1426000.0,980.5144653320312,3
DCWM (ours),walker-walk,1451000.0,977.3111572265624,3
DCWM (ours),walker-walk,1476000.0,977.79150390625,3
DCWM (ours),walker-walk,1501000.0,988.5302124023438,3
DCWM (ours),walker-walk,1526000.0,975.2517700195312,3
DCWM (ours),walker-walk,1551000.0,971.068359375,3
